<CdSiteHydro>,<LbSiteHydro>,<Annee>,<TypeCampObservations>,<DtRealObservation>,<LbRsObservationDpt>,<RsObservationDpt>,<LbRsObservationNat>,<RsObservationNat>,<NomEntiteHydrographique>,<CdTronconHydrographique>,<LbCommune>,<CdCommune>,<CdDepartement>,<LbRegion>,<NomCircAdminBassin>,<CoordXSiteHydro>,<CoordYSiteHydro>,<ProjCoordSiteHydro>,FLG
E3658511,La Borre Becque à Hazebroucck,2014,usuelle,2014-06-25,Ecoulement visible acceptable,1a,Ecoulement visible,1,la Borre Becque,E3650850,HONDEGHEM,59308,59,NORD-PAS-DE-CALAIS,ARTOIS-PICARDIE,666497.244722697,7072021.98588476,26,FLG
V2024012,Ruisseau le Galavo à lac-Des-Rouges-Truites,2014,usuelle,2014-06-24,Ecoulement visible faible,1f,Ecoulement visible,1,Le Galavo,V2021000,LAC-DES-ROUGES-TRUITES,39271,39,FRANCHE-COMTE,RHONE-MEDITERRANEE-CORSE,931119.9,6618104,26,FLG
V2039111,Rivière la Lemme à Entre Deux Monts,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,La Lemme,V2030500,ENTRE-DEUX-MONTS,39208,39,FRANCHE-COMTE,RHONE-MEDITERRANEE-CORSE,925263.9,6619188.5,26,FLG
V2002010,Rivière l'Ain à Nozeroy,2014,usuelle,2014-06-24,Assec,3,Assec,3,L'Ain,V2--0200,NOZEROY,39391,39,FRANCHE-COMTE,RHONE-MEDITERRANEE-CORSE,930662.1,6632256.5,26,FLG
D0137051,La rivière du pont de sains à Etroeungt,2014,usuelle,2014-06-25,Ecoulement visible acceptable,1a,Ecoulement visible,1,la rivière du Pont de Sains,D0130850,ETROEUNGT,59218,59,NORD-PAS-DE-CALAIS,ARTOIS-PICARDIE,770857.209094048,6995741.16420222,26,FLG
E1827023,Le ruisseau de l'hôpital à Villers-Sire-Nicole,2014,usuelle,2014-06-25,Ecoulement visible acceptable,1a,Ecoulement visible,1,le ruisseau de l'hôpital,E1820660,VILLERS-SIRE-NICOLE,59627,59,NORD-PAS-DE-CALAIS,ARTOIS-PICARDIE,772108.751073597,7025732.02371223,26,FLG
E1766012,Les Harpies à Vendegies-au-bois,2014,usuelle,2014-06-25,Ecoulement visible acceptable,1a,Ecoulement visible,1,les harpies,E1760710,VENDEGIES-AU-BOIS,59607,59,NORD-PAS-DE-CALAIS,ARTOIS-PICARDIE,741497.9,7008027,26,FLG
E1766013,La Rhonelle à Villereau,2014,usuelle,2014-06-25,Ecoulement visible acceptable,1a,Ecoulement visible,1,la Rhonelle,E1760600,VILLEREAU,59619,59,NORD-PAS-DE-CALAIS,ARTOIS-PICARDIE,747272.205467528,7017654.07937092,26,FLG
E1310001,Le ruisseau de l'Erclin à Avesnes-les-Aubert,2014,usuelle,2014-06-25,Ecoulement visible acceptable,1a,Ecoulement visible,1,l'Erclin,E1310600,AVESNES-LES-AUBERT,59037,59,NORD-PAS-DE-CALAIS,ARTOIS-PICARDIE,727014.726890372,7011418.7636772,26,FLG
E1840001,Le Courant de bernissart à Condé-sur-Escaut,2014,usuelle,2014-06-25,Ecoulement visible acceptable,1a,Ecoulement visible,1,le Courant de Bernissart,E1840820,CONDE-SUR-L'ESCAUT,59153,59,NORD-PAS-DE-CALAIS,ARTOIS-PICARDIE,744343.4,7040582,26,FLG
